Clerezza,2862894.8425464923,1996,103,2011-02-12 08:00:07,356,29,0,1,False,-3,55,7,1,,-1,,68927,314,3798,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2009-11-27,2013-02-20,12,https://github.com/apache/Clerezza
Click,4661232.728844296,736,36,2013-11-08 08:00:11,303,12,PRs missing,1,True,0,Commits or Issues or PRs missing,1,0,,PRs missing,,PRs missing,570,10443,0.00293968326755212,21.34,43,1,5,7,13.827496316445654,194,2008-07-21,2009-11-18,12,https://github.com/apache/Click
cloudstack,2080764.2270408163,0,4792,2013-04-29 22:27:12,-51,1072,0,16,False,22,157,53,2707,,74294,,56320,612,50854,0.0,44.65,0,48,151,257,23.51793355806089,540,2012-04-16,2013-03-20,12,https://github.com/apache/cloudstack
incubator-CommonsRDF,3116378.3989677425,623,133,2015-03-19 07:00:05,-16,43,-11,2,False,-4,26,7,0,,-1,,69811,229,1491,0.005708848715509039,71.25,2,0,0,0,5.288736420811892,91,2015-03-06,2016-11-28,12,https://github.com/apache/incubator-CommonsRDF
cordova,1748916.7862903227,0,1264,2018-02-13 10:02:11,0,62,0,1,True,0,0,0,2,,27,,36686,24,25,0.0,0.0,0,0,0,0,NaN,0,2011-10-15,2012-10-17,12,https://github.com/apache/cordova
CouchDB,17370697.99749606,421,13234,2009-05-21 02:03:38,-113,1018,0,2,False,1,96,0,3943,,74697,,23859,571,17018,0.04353470258240994,45.44,25,9,27,22,15.131052153952917,446,2008-02-12,2008-11-19,12,https://github.com/apache/CouchDB
Crunch,438762.56447754515,1237,293,2012-10-19 07:00:12,85,85,0,1,True,-9,56,9,0,,-1,,61888,57,1217,0.0467412771560237,18.36,20,0,0,4,14.26175538853345,114,2012-05-26,2013-02-20,12,https://github.com/apache/Crunch
Curator,8543990.76894107,263,7406,2014-03-03 08:00:07,41,1236,0,2,False,2,49,0,1092,,3771,,3988,297,2764,0.03545716342692585,98.19,13,0,1,0,9.302192126707219,78,2013-03-11,2013-09-01,12,https://github.com/apache/Curator
Daffodil,19028044.231168017,2548,253,2017-08-29 07:00:10,-22,73,53,2,False,0,69,18,0,,5835,,44482,154,3934,0.009129213483146067,67.37,32,3,11,11,8.760543113873284,740,2017-08-27,2021-02-17,12,https://github.com/apache/Daffodil
DataFu,16224143.333162652,875,294,2014-01-14 08:00:07,23,66,1,1,False,-4,76,19,0,,202,,73929,145,526,0.0013168724279835392,64.74,17,0,0,6,20.682749203459263,181,2014-01-05,2018-02-21,12,https://github.com/apache/DataFu
DataSketches,5524025.4081,35,176,2019-05-08 19:29:09,32,10,0,1,True,-1,13,1,0,,-1,,376,509,112,5.340168749332479e-05,0.0,0,0,0,0,0.0,0,2019-03-30,2020-12-16,12,https://github.com/apache/DataSketches
DeltaSpike,7193572.719667012,1046,433,2013-06-04 07:00:12,89,137,0,2,False,-4,85,12,1228,,-1,,14317,64,2628,0.043863786435241955,83.62,38,0,0,8,3.312295973884657,141,2011-12-07,2013-05-28,12,https://github.com/apache/DeltaSpike
Deltacloud,1942697.7177250981,281,169,2010-07-29 23:31:00,258,25,1,2,True,2,41,1,0,,-1,,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.735445895823254,94,2010-05-19,2011-10-26,12,https://github.com/apache/Deltacloud
Derby,7317177.814795682,1776,818,2011-06-19 07:00:34,-153,140,0,4,False,-1,171,2,0,,-1,,67715,117,8152,0.04954986969912343,95.1,0,22,53,170,10.741400427322358,901,2004-08-15,2005-07-18,12,https://github.com/apache/Derby
DirectMemory,1849309.6265779824,437,136,2011-10-15 07:00:08,75,28,-1,1,True,-3,28,1,0,,-1,,76108,10,643,0.008926627476594819,40.69,3,0,2,0,7.289701062667594,78,2011-10-05,2012-08-15,12,https://github.com/apache/DirectMemory
DistributedLog,1494305.4623906256,971,440,2016-07-22 07:00:06,-5,74,-20,1,True,-6,52,20,0,,75865,,25760,53,310,0.004650376257715397,43.83,40,1,6,10,5.70827425330467,136,2016-06-24,2017-07-01,12,https://github.com/apache/DistributedLog
DolphinScheduler,758930.9804658152,7150,29384,2019-03-01 16:39:25,12,4506,86,12,False,19,424,122,2355,,60410,,26689,1619,9270,0.0,30.91,41,1,7,40,18.12270828003752,494,2019-08-29,2021-03-17,12,https://github.com/apache/DolphinScheduler
incubator-Doris,1725646.2921501705,7469,26907,2017-08-10 12:13:30,-1062,3129,1666,16,False,123,567,193,8227,,84653,,13055,5005,27023,0.0,38.77,0,50,132,464,26.528889782873037,1039,2018-07-18,2022-06-15,12,https://github.com/apache/incubator-Doris
Drill,4160190.3085112846,5875,4831,2012-09-05 07:00:26,-282,983,2,9,False,17,246,21,669,,1272,,23006,264,4496,0.07747495270791004,58.78,0,9,9,57,11.353865257781475,358,2012-08-11,2014-11-19,12,https://github.com/apache/Drill
Druid,17795523.673546858,7227,30275,2012-10-23 19:08:07,-166,3657,74,7,False,10,398,109,2924,,80283,,84603,4255,11903,0.0,118.46,0,5,39,181,17.606106537059308,644,2018-02-28,2019-12-18,12,https://github.com/apache/Druid
Dubbo,3568030.261752914,6622,106830,2012-06-19 07:56:02,-196,26350,154,6,False,27,642,84,4006,,84701,,67118,395,8868,7.202146239579394e-05,73.21,33,2,3,15,11.023236084272046,260,2018-02-16,2019-05-15,12,https://github.com/apache/Dubbo
ECharts,6254384.54312573,22388,138936,2013-04-03 03:18:59,-275,19576,101,2,False,5,1731,68,3318,,59890,,35500,361,9309,3.3215970238490664e-05,143.57,31,1,4,89,15.36511346180265,211,2018-01-18,2020-12-16,12,https://github.com/apache/ECharts
ESME,4435278.189178218,871,46,2010-05-26 23:38:08,-133,12,0,2,True,2,30,3,0,,-1,,58383,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865345,98,2008-12-02,2010-12-15,12,https://github.com/apache/ESME
Eagle,1588072.006220073,3640,995,2015-11-18 08:00:06,-145,181,52,3,True,5,98,13,0,,-1,,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.599232616346288,246,2015-10-26,2016-12-21,12,https://github.com/apache/Eagle
Empire-db,12525233.49368811,332,190,2011-07-14 07:03:04,138,24,0,1,False,2,31,0,0,,-1,,32762,144,1700,0.01044841097083152,4.71,31,8,3,6,51.93314590802404,140,2008-07-08,2012-01-24,12,https://github.com/apache/Empire-db
Etch,11666261.171568867,488,43,2009-03-27 15:41:55,40,9,PRs missing,3,False,-4,Commits or Issues or PRs missing,9,0,,PRs missing,,PRs missing,216,455,0.0054585152838427945,92.36,36,1,3,5,11.387594119756185,213,2008-09-02,2013-01-16,12,https://github.com/apache/Etch
EventMesh,4189583.6549390242,2707,3769,2019-09-16 03:04:56,-993,623,347,5,False,156,359,72,2625,,53866,,13132,1432,4857,7.117336408022661e-05,9.48,32,2,10,46,22.075353753480705,1019,2021-02-18,2023-02-15,12,https://github.com/apache/EventMesh
Falcon,1868437.627718405,5253,317,2013-07-20 07:00:14,-127,117,2,6,False,4,119,5,0,,-1,,28092,1258,1298,0.0368270169801216,64.57,39,2,4,21,12.483862810599305,327,2013-03-27,2014-12-17,12,https://github.com/apache/Falcon
Felix,5142729.431256367,924,896,2009-05-20 02:00:07,-196,322,0,2,False,-1,81,9,0,,-1,,69377,2303,35027,0.038252949699855106,0.0,0,0,0,0,NaN,0,2005-07-19,2007-04-01,12,https://github.com/apache/Felix
Fineract,9656785.984694434,1082,4050,2015-12-22 08:00:06,51,1542,32,11,False,0,124,20,564,,30755,,72769,544,7464,0.012892469423338805,41.58,0,7,29,101,20.08146023841439,578,2015-12-15,2017-04-19,12,https://github.com/apache/Fineract
incubator-Flagon,17518627.769230768,25,65,2017-01-12 08:00:06,0,15,1,2,False,0,17,15,0,,25304,,785,117,144,0.0,0.0,42,0,8,10,23.395102581072138,267,2016-07-13,2023-04-22,12,https://github.com/apache/incubator-Flagon
Flink,4324400.851542074,7211,60172,2014-06-07 07:00:10,-463,13102,85,16,False,16,175,10,12851,,62505,,7828,6925,40618,0.017610098391586823,113.4,0,21,65,214,14.329816034384866,436,2014-04-14,2014-12-17,12,https://github.com/apache/Flink
Flume,11704806.925416945,3713,6604,2011-08-12 18:20:14,408,1568,0,4,False,0,164,4,184,,-1,,86396,41,2807,0.03768732819012149,98.9,46,0,1,7,8.636832500198366,185,2011-06-13,2012-06-20,12,https://github.com/apache/Flume
Fluo,8056326.837037037,269,448,2013-06-19 20:14:05,58,78,-21,2,True,1,12,3,86,,41118,,40920,203,885,0.0,52.38,15,0,2,2,17.636709128017454,140,2016-05-17,2017-07-19,12,https://github.com/apache/Fluo
FreeMarker,2172687.1029326427,455,2158,2015-09-04 07:00:05,300,262,3,1,False,2,91,13,0,,-1,,37248,540,3163,0.004669069462647444,73.51,2,13,7,26,8.418863007749103,264,2015-07-01,2018-03-21,12,https://github.com/apache/FreeMarker
