Dubbo,3568030.261752914,18928,106830,2012-06-19 07:56:02,139,26350,-265,6,False,-31,1457,514,4006,,84701,,67118,395,8868,0.014962458812726192,73.21,33,2,3,15,11.023236084272046,260,2019-05-15,2024-07-13,12,https://github.com/apache/Dubbo
ECharts,6254384.54312573,26835,138936,2013-04-03 03:18:59,166,19576,-57,2,False,-9,1163,139,3318,,59890,,35500,361,9309,0.016325649372218164,143.57,31,1,4,89,15.36511346180265,211,2020-12-16,2024-07-13,12,https://github.com/apache/ECharts
ESME,4435278.189178218,355,46,2010-05-26 23:38:08,97,12,1,2,True,-5,16,7,0,,-1,,58383,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865345,98,2010-12-15,2023-06-13,12,https://github.com/apache/ESME
Eagle,1588072.006220073,1065,995,2015-11-18 08:00:06,110,181,-121,3,True,-15,80,26,0,,-1,,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.599232616346288,246,2016-12-21,2020-11-20,12,https://github.com/apache/Eagle
Empire-db,12525233.49368811,779,190,2011-07-14 07:03:04,11,24,0,1,False,0,49,15,0,,-1,,32762,144,1700,0.01044841097083152,4.71,31,8,3,6,51.93314590802404,140,2012-01-24,2024-07-12,12,https://github.com/apache/Empire-db
Etch,11666261.171568867,107,43,2009-03-27 15:41:55,27,9,PRs missing,3,False,-2,Commits or Issues or PRs missing,1,0,,PRs missing,,PRs missing,216,455,0.0054585152838427945,92.36,36,1,3,5,11.387594119756185,213,2013-01-16,2015-05-18,12,https://github.com/apache/Etch
EventMesh,4189583.6549390242,2174,3769,2019-09-16 03:04:56,532,623,-437,5,False,-52,175,121,2625,,53866,,13132,1432,4857,7.117336408022661e-05,9.48,32,2,10,46,22.075353753480705,1019,2023-02-15,2024-07-14,12,https://github.com/apache/EventMesh
Falcon,1868437.627718405,7425,317,2013-07-20 07:00:14,82,117,-2,6,False,-7,161,50,0,,-1,,28092,1258,1298,0.0368270169801216,64.57,39,2,4,21,12.483862810599305,327,2014-12-17,2019-07-25,12,https://github.com/apache/Falcon
Felix,5142729.431256367,25233,896,2009-05-20 02:00:07,310,322,0,2,False,-7,1365,60,0,,-1,,69377,2303,35027,0.038252949699855106,0.0,0,0,0,0,NaN,0,2007-04-01,2024-07-09,12,https://github.com/apache/Felix
Fineract,9656785.984694434,5973,4050,2015-12-22 08:00:06,-30,1542,6,11,False,12,461,141,564,,30755,,72769,544,7464,0.012892469423338805,41.58,0,7,29,101,20.08146023841439,578,2017-04-19,2024-07-12,12,https://github.com/apache/Fineract
incubator-Flagon,17518627.769230768,27,65,2017-01-12 08:00:06,-1,15,2,2,False,1,10,3,0,,25304,,785,117,144,0.0,0.0,42,0,8,10,23.395102581072138,267,2023-04-22,2024-05-16,12,https://github.com/apache/incubator-Flagon
Flume,11704806.925416945,12667,6604,2011-08-12 18:20:14,248,1568,1,4,False,-14,1025,95,184,,-1,,86396,41,2807,0.03768732819012149,98.9,46,0,1,7,8.636832500198366,185,2012-06-20,2024-05-12,12,https://github.com/apache/Flume
Fluo,8056326.837037037,436,448,2013-06-19 20:14:05,41,78,-31,2,True,-9,34,30,86,,41118,,40920,203,885,0.013747228381374724,52.38,15,0,2,2,17.636709128017454,140,2017-07-19,2024-03-27,12,https://github.com/apache/Fluo
FreeMarker,2172687.1029326427,530,2158,2015-09-04 07:00:05,26,262,-1,1,False,0,131,25,0,,-1,,37248,540,3163,0.004669069462647444,73.51,2,13,7,26,8.418863007749103,264,2018-03-21,2024-07-09,12,https://github.com/apache/FreeMarker
FtpServer,4380432.478579778,1368,213,2011-04-21 07:00:07,30,57,0,1,True,-2,205,9,0,,-1,,45016,79,1084,0.02929860905593371,59.71,21,0,0,6,12.512358563111063,149,2007-12-18,2023-07-10,12,https://github.com/apache/FtpServer
