commons-geometry,4649499.4041343285,1136,119,2018-04-02 10:19:46,25,29,-5,1,False,1,44,20,18,,-1,,24111,54,596,0.0026343519494204425,193.27,5,0,1,0,6.844857020913359,59,2018-04-02,2024-08-21,12,https://github.com/apache/commons-geometry
httpcomponents-client,2028848.7240931818,9685,3820,2009-05-21 01:43:06,20,932,5,1,False,3,1284,133,2,,-1,,75233,664,3928,0.07793078549693125,69.46,32,3,1,20,14.73611111111111,261,2009-05-21,2024-08-22,12,https://github.com/apache/httpcomponents-client
commons-imaging,11424924.28548,1162,1022,2013-07-11 07:00:17,-62,180,11,3,False,1,208,51,0,,57298,,32987,128,2501,0.004866463315249028,32.19,26,2,0,20,9.192082236003738,266,2013-07-11,2024-08-21,12,https://github.com/apache/commons-imaging
commons-io,9958973.604993531,3086,2661,2009-05-21 01:38:37,-182,661,15,1,False,3,629,108,7,,-1,,35275,232,5018,0.03982981805014936,173.71,10,0,1,0,5.9328091493924235,79,2009-05-21,2024-08-21,12,https://github.com/apache/commons-io
commons-jci,7538395.451891891,33,42,2013-07-11 07:00:17,-28,16,11,1,False,1,19,8,0,,-1,,21035,50,804,0.03172804532577904,43.18,0,0,0,0,7.091561938958708,78,2013-07-11,2024-08-19,12,https://github.com/apache/commons-jci
commons-jcs,12937177.924039999,639,235,2013-07-10 07:00:13,-98,49,12,2,False,2,93,17,874,,-1,,37575,87,2625,0.006103934110957816,37.55,27,0,0,2,8.901764550961285,177,2013-07-10,2024-08-21,12,https://github.com/apache/commons-jcs
commons-jelly,8113369.99855642,12,54,2013-07-10 07:00:13,-4,22,0,2,False,1,17,11,0,,-1,,2256,120,2636,0.025186123871376524,43.3,29,0,0,4,7.472455547071015,122,2013-07-10,2024-08-21,12,https://github.com/apache/commons-jelly
commons-jexl,4008107.356606205,1353,455,2013-07-10 07:00:14,-550,83,10,2,False,5,99,19,1547,,39832,,7772,397,4896,0.028898582333696837,106.36,40,0,4,4,4.019092418372994,166,2013-07-10,2024-08-21,12,https://github.com/apache/commons-jexl
commons-jxpath,7632566.11226738,164,120,2013-07-10 07:00:14,-58,54,10,1,False,1,49,8,0,,-1,,64399,28,1034,0.05721765145848916,28.05,28,8,3,8,12.800758563470428,388,2013-07-10,2024-08-19,12,https://github.com/apache/commons-jxpath
commons-lang,4144053.0708479644,6779,6952,2009-05-21 01:24:46,-121,1556,15,2,False,7,1084,240,81,,71209,,80674,296,8199,0.02861588675092034,187.66,33,2,4,3,8.91566265060241,144,2009-05-21,2024-08-22,12,https://github.com/apache/commons-lang
commons-logging,8166323.675884615,304,414,2009-05-21 08:42:09,-82,128,14,3,False,3,96,21,5,,-1,,30641,119,1752,0.03932584269662921,57.43,7,0,0,1,8.402203856749312,125,2009-05-21,2024-08-21,12,https://github.com/apache/commons-logging
commons-math,3012292.338049561,2735,1493,2014-10-08 07:00:06,129,353,-2,2,False,-6,330,63,9,,-1,,22119,229,7837,0.02576763918350315,92.92,27,4,8,30,10.1649890380707,639,2014-10-08,2024-08-21,12,https://github.com/apache/commons-math
commons-net,5781650.209429022,1124,691,2012-12-11 08:00:16,-150,185,18,3,False,3,258,34,0,,-1,,3329,157,3641,0.0463837198643322,56.01,18,0,1,1,6.513720197930724,131,2012-12-11,2024-08-21,12,https://github.com/apache/commons-net
