project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
EventMesh,4189583.6549390242,2707,3769,6,-993,623,347,5,0,156,359,72,2625,13132,1432,4857,7.117336408022661e-05,9.48,32,2,10,46,22.075353753480705,1019,2021-02-18,2023-02-15,https://github.com/apache/EventMesh,graduated
Falcon,1868437.627718405,5253,317,12,-127,117,2,6,0,4,119,5,0,28092,1258,1298,0.0368270169801216,64.57,39,2,4,21,12.483862810599303,327,2013-03-27,2014-12-17,https://github.com/apache/Falcon,graduated
Fineract,9656785.984694434,1082,4050,10,51,1542,32,11,0,0,124,20,564,72769,544,7464,0.012892469423338805,41.58,0,7,29,101,20.08146023841439,578,2015-12-15,2017-04-19,https://github.com/apache/Fineract,graduated
incubator-Flagon,17518627.769230768,25,65,8,0,15,1,2,0,0,17,15,0,785,117,144,0.0,0.0,42,0,8,10,23.395102581072138,267,2016-07-13,2023-04-22,https://github.com/apache/incubator-Flagon,graduated
Flink,4324400.851542074,7211,60172,11,-463,13102,85,16,0,16,175,10,12851,7828,6925,40618,0.017610098391586823,113.4,0,21,65,214,14.329816034384866,436,2014-04-14,2014-12-17,https://github.com/apache/Flink,graduated
Flume,11704806.925416945,3713,6604,14,408,1568,0,4,0,0,164,4,184,86396,41,2807,0.03768732819012149,98.9,46,0,1,7,8.636832500198366,185,2011-06-13,2012-06-20,https://github.com/apache/Flume,graduated
Fluo,8056326.837037037,269,448,12,58,78,-21,2,1,1,12,3,86,40920,203,885,0.0,52.38,15,0,2,2,17.636709128017454,140,2016-05-17,2017-07-19,https://github.com/apache/Fluo,graduated
FreeMarker,2172687.1029326427,455,2158,10,300,262,3,1,0,2,91,13,0,37248,540,3163,0.004669069462647444,73.51,2,13,7,26,8.418863007749103,264,2015-07-01,2018-03-21,https://github.com/apache/FreeMarker,graduated
FtpServer,4380432.478579778,416,213,14,-11,57,0,1,1,-3,60,5,0,45016,79,1084,0.02929860905593371,59.71,21,0,0,6,12.512358563111064,149,2003-03-29,2007-12-18,https://github.com/apache/FtpServer,graduated
Geode,3973503.7176498156,9126,5240,10,-566,684,55,3,0,15,223,38,561,13785,1810,11482,0.02425738171469228,22.39,0,8,73,179,16.539515379666913,1599,2015-04-27,2016-11-16,https://github.com/apache/Geode,graduated
Geronimo,5353122.073008941,646,90,16,216,22,0,4,1,-2,70,0,0,6186,1082,15550,0.002156340654169422,25.16,0,4,10,60,19.08079888683134,350,2003-08-06,2004-05-26,https://github.com/apache/Geronimo,graduated
Giraph,1298573.5597413937,1674,1533,14,-5,299,0,4,1,-1,85,5,0,39915,9,1165,0.020250723240115717,18.25,42,0,2,19,7.487871757013289,179,2011-08-01,2012-05-16,https://github.com/apache/Giraph,graduated
Gobblin,1098363.107780876,2223,5162,11,273,746,-130,10,0,-13,223,79,346,72080,325,6119,0.005651288448676231,48.95,41,0,0,14,8.002346366990322,245,2017-02-23,2021-01-20,https://github.com/apache/Gobblin,graduated
Gora,8514490.679457834,421,351,11,-16,119,0,5,0,2,40,4,146,63300,386,1242,0.018000669792364365,32.07,33,0,0,5,15.517833301544917,185,2010-09-26,2012-01-15,https://github.com/apache/Gora,graduated
Griffin,3495791.242364961,716,2820,8,-64,588,43,5,0,12,94,26,545,59963,252,864,0.004185424873382105,25.33,5,0,1,1,19.287151480310435,102,2016-12-05,2018-11-21,https://github.com/apache/Griffin,graduated
Groovy,11021579.950147426,1563,12146,10,139,1868,52,5,0,-5,302,15,10288,43412,749,37570,0.034280485229592435,98.22,0,9,26,39,5.842585959885387,340,2015-03-17,2015-11-18,https://github.com/apache/Groovy,graduated
HAWQ,1500340.8587483051,8207,1721,10,120,327,-117,1,1,-20,275,89,94,58494,211,2721,0.005026888646467748,17.8,0,31,196,227,17.08381935344582,651,2015-09-04,2018-08-15,https://github.com/apache/HAWQ,graduated
HCatalog,1505300.596588132,3832,170,14,-24,48,0,2,1,1,81,4,0,-1,593,113,0.10196394942157654,82.51,24,2,0,3,6.897921355752681,156,2011-03-14,2013-02-13,https://github.com/apache/HCatalog,graduated
Hama,2016328.7287991385,4140,335,15,-72,75,0,2,0,1,62,4,0,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.13187927973624,170,2008-05-20,2012-05-16,https://github.com/apache/Hama,graduated
Helix,3662591.475987118,845,1126,11,33,218,0,6,0,-1,43,6,1277,53611,243,4793,0.008213801124248885,87.88,32,1,8,23,7.687548923061384,401,2012-10-14,2013-12-18,https://github.com/apache/Helix,graduated
Hop,9956725.067920053,2666,2118,6,-69,328,-46,2,0,-4,125,19,1714,70831,220,6946,0.00658901795030694,15.65,0,31,88,676,27.65311117984559,594,2020-09-24,2021-12-16,https://github.com/apache/Hop,graduated
Hudi,954899.7610319076,1722,12817,9,-165,2383,195,12,0,37,171,38,1955,17986,1659,7516,0.0,67.84,0,9,16,81,25.370530900479945,291,2019-01-17,2020-05-20,https://github.com/apache/Hudi,graduated
Iceberg,7182701.316714491,1407,13884,7,-33,2074,117,4,0,17,140,46,1170,2237,856,5085,0.0,120.32,30,2,4,19,56.96438404657017,194,2018-11-16,2020-05-20,https://github.com/apache/Iceberg,graduated
Ignite,1599548.3711340206,0,11338,10,487,1888,205,8,0,13,53,8,2418,16696,2280,31388,0.0,82.67,0,17,45,113,9.115681876327548,458,2014-10-01,2015-09-18,https://github.com/apache/Ignite,graduated
Impala,6952346.002343155,15109,2713,9,22,501,5,16,0,3,482,49,0,18866,1308,11388,0.0326004583512139,22.61,0,15,80,151,37.817837945450925,1061,2015-12-03,2017-11-15,https://github.com/apache/Impala,graduated
inlong,2799853.7865064694,3176,3209,5,-666,513,527,8,0,36,140,59,996,56535,376,4670,0.0,11.53,0,2,18,71,30.447170894554425,505,2019-11-03,2022-06-15,https://github.com/apache/inlong,graduated
isis,8495139.0,0,115,12,0,19,0,1,1,0,0,0,9,47849,2,27,0.0,0.0,0,0,0,0,11.6,31,2010-09-07,2012-10-17,https://github.com/silentgrowl/isis,graduated
ant-ivy,10405759.174394222,905,249,11,-15,115,0,2,0,1,110,0,0,60841,1001,2394,0.07756298526382507,69.18,31,0,3,17,3.925680159256802,174,2006-10-23,2007-10-11,https://github.com/apache/ant-ivy,graduated
db-jdo,4307390.764389097,666,67,7,61,11,0,2,0,1,20,0,135,83781,195,1953,0.003848382773733203,3.79,0,50,33,140,38.77619027783563,464,2005-05-18,2005-12-09,https://github.com/apache/db-jdo,graduated
jspwiki,7615634.967521353,4461,311,16,-12,101,0,1,0,-2,274,7,0,60326,557,9688,0.005745796699059077,23.44,41,0,7,5,9.957978219696969,124,2007-09-17,2013-07-19,https://github.com/apache/jspwiki,graduated
jackrabbit,2778169.5282328557,1209,867,16,-208,209,0,3,0,5,130,3,36,70436,963,13975,0.0364752969390566,50.12,0,22,14,65,11.431264648935086,619,2004-08-28,2006-03-15,https://github.com/apache/jackrabbit,graduated
jena,341916.33904109587,0,2793,12,166,643,0,1,0,0,10,5,53,47339,1284,23808,0.0,41.89,0,50,89,95,40.87455518247414,2861,2010-11-23,2012-04-18,https://github.com/apache/jena,graduated
johnzon,3183048.971077252,228,164,11,-15,66,0,2,0,3,21,3,19,85094,88,1010,0.06727648273827087,111.2,27,6,2,12,8.763954425135228,230,2014-06-09,2016-04-20,https://github.com/apache/johnzon,graduated
joshua,5767237.8681283165,630,271,9,86,63,-11,3,1,-7,53,25,52,79127,242,4139,0.0007553578025152863,11.1,25,5,8,22,20.812156280136577,429,2016-02-13,2018-10-17,https://github.com/apache/joshua,graduated
juneau,212245.0,0,195,9,13,39,0,1,0,-1,12,6,1073,52534,362,3063,0.0,63.65,0,13,11,35,24.50511147322962,403,2016-06-24,2017-10-18,https://github.com/apache/juneau,graduated
kafka,4881563.368126714,3218,69559,14,-28,13689,0,20,0,1,197,3,3815,15538,314,19503,0.04011426610273855,150.76,3,5,40,82,7.793045814689051,354,2011-07-04,2012-10-23,https://github.com/apache/kafka,graduated
knox,3863104.6460014815,762,616,11,29,248,0,4,0,1,36,0,541,54137,90,3234,0.05832117414814179,76.17,45,1,6,5,30.68684831792249,345,2013-02-22,2014-02-19,https://github.com/apache/knox,graduated
kudu,9422959.918027366,981,4300,9,-49,648,0,4,0,6,102,4,0,40773,1807,9815,0.021403022288503885,22.52,0,5,60,91,8.128009354794331,330,2015-12-03,2016-07-20,https://github.com/apache/kudu,graduated
kylin,3423467.6758924467,2370,8779,10,838,1533,6,2,0,-1,174,19,3418,78576,1324,11325,0.00557244842751764,48.76,28,1,30,10,9.744745577412123,374,2014-11-25,2015-11-18,https://github.com/apache/kylin,graduated
kyuubi,994922.4987190436,3216,4912,8,-82,884,52,5,0,7,188,66,1445,69559,983,4202,0.0,52.24,25,6,8,29,26.109845054584174,429,2021-06-21,2022-12-22,https://github.com/apache/kyuubi,graduated
Lens,1869857.867993928,3685,219,11,152,101,-4,3,0,10,102,9,0,35949,100,2370,0.03259259259259259,69.67,36,3,4,12,4.54013573601685,185,2014-10-10,2015-08-19,https://github.com/apache/Lens,graduated
Libcloud,6767726.1931034485,11,4980,16,-16,928,5,3,0,0,22,7,2887,25957,496,9984,0.0,90.82,45,0,16,2,31.055776143893183,154,2009-11-01,2011-05-19,https://github.com/apache/Libcloud,graduated
linkis,1045868.835408771,3084,7689,6,-178,1151,107,8,0,11,150,68,1062,61331,720,3524,0.0,8.55,2,1,13,61,35.37389338858542,225,2021-08-02,2022-12-22,https://github.com/apache/linkis,graduated
logging-log4php,9917073.167291261,254,285,13,-47,83,0,2,1,2,36,4,5,83148,3,1044,0.02599388379204893,77.06,9,0,0,1,1.3215859030837005,85,2004-01-31,2010-03-07,https://github.com/apache/logging-log4php,graduated
Lucene.NET,7368051.2342243,776,4992,16,113,628,1,1,0,1,74,3,4898,5107,707,7769,0.00239290333240276,55.12,0,32,40,195,14.81554623472187,1929,2011-02-05,2012-08-15,https://github.com/apache/Lucene.NET,graduated
Lucy,3056614.7383840824,334,224,14,-105,26,0,2,0,4,23,3,0,48161,24,3417,0.006492266564827191,19.95,14,14,8,25,9.83782815159932,512,2010-07-22,2012-02-22,https://github.com/apache/Lucy,graduated
MADlib,4570672.762391403,974,1057,10,-27,147,31,5,0,-1,86,13,0,8585,405,2684,0.03138737887024344,0.67,0,18,19,32,29.24762463969254,510,2015-09-15,2017-07-19,https://github.com/apache/MADlib,graduated
MRUnit,1853120.4706450012,474,103,14,-76,27,0,2,1,2,47,1,0,-1,53,282,0.06936416184971098,148.58,1,0,0,0,21.800327332242222,90,2011-03-08,2012-05-16,https://github.com/apache/MRUnit,graduated
MXNet,1734615.1247053542,38622,48272,10,349,6808,-409,17,0,-111,1740,725,2192,53462,3462,9542,0.0,19.19,0,16,40,165,24.58314163425209,555,2017-01-23,2022-09-21,https://github.com/apache/MXNet,graduated
ManifoldCF,1536761.0113331343,2390,217,13,-61,65,0,1,0,1,66,4,163,72076,1885,4653,0.005520859963721802,7.94,0,42,48,217,35.270220684594015,817,2010-01-10,2012-05-16,https://github.com/apache/ManifoldCF,graduated
Marmotta,3973982.483487847,1163,159,11,-179,53,0,2,0,1,35,5,0,47530,220,2211,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2012-12-03,2013-11-20,https://github.com/apache/Marmotta,graduated
Mesos,5316112.854583107,1793,12109,12,-211,1675,0,11,0,5,157,2,982,75391,2617,19484,0.011673345387417149,79.51,0,17,28,94,23.685758558351747,591,2010-12-23,2013-06-19,https://github.com/apache/Mesos,graduated
MetaModel,4544793.764252634,301,461,12,7,151,0,2,0,-1,45,9,534,54290,285,668,0.0260387811634349,58.67,40,0,0,2,5.719104007038897,119,2013-06-12,2014-11-20,https://github.com/apache/MetaModel,graduated
Metron,1507542.85586738,6100,2198,10,78,512,83,4,0,-2,131,27,0,70919,654,1014,0.00884475054318862,55.02,44,2,2,11,16.622195269860523,243,2015-12-06,2017-04-19,https://github.com/apache/Metron,graduated
Mnemonic,4917420.888888889,0,297,9,10,63,-6,1,0,8,22,9,96,77179,117,675,0.0,32.73,14,0,1,4,32.5463073376262,152,2016-03-03,2017-11-15,https://github.com/apache/Mnemonic,graduated
MyFaces,11591573.477364866,280,305,7,0,71,0,2,0,0,61,0,1920,27265,140,8242,0.03619809323499702,53.69,0,2,16,94,16.424881545924165,324,2004-07-16,2005-03-09,https://github.com/apache/MyFaces,graduated
Mynewt-core,7153691.939189189,0,1996,10,-74,366,198,5,0,19,56,14,963,13292,371,10773,0.0,2.4,0,23,81,106,30.48961477519591,608,2015-10-20,2017-06-21,https://github.com/apache/Mynewt-core,graduated
NiFi,6098392.2830699645,4514,11849,11,57,2643,-7,5,0,4,168,5,5532,6860,377,11986,0.020397499513709574,46.2,0,16,39,137,16.829640203743956,834,2014-11-24,2015-07-15,https://github.com/apache/NiFi,graduated
Nutch,9465195.94196493,226,6953,16,0,1245,0,5,0,0,68,0,226,7741,1737,2571,0.00959283115600514,20.27,21,4,2,38,15.064916225429752,250,2005-01-15,2005-06-01,https://github.com/apache/Nutch,graduated
Nuvem,171898.90657142855,82,9,15,17,5,0,2,1,-3,14,4,0,-1,0,141,0.009828009828009828,24.59,8,0,0,0,24.067333939945406,37,2010-06-24,2012-11-29,https://github.com/apache/Nuvem,graduated
OFBiz,5850900.638448691,2878,2099,16,-667,553,0,3,0,5,130,0,0,69591,232,31770,0.005475233220969169,2.34,0,48,105,243,17.533314811798856,753,2006-01-31,2006-12-20,https://github.com/apache/OFBiz,graduated
commons-ognl,5530371.727073299,134,204,12,0,40,0,1,0,0,22,0,3,38528,26,965,0.08882655446470314,46.27,33,1,1,8,5.818472793781436,160,2011-04-26,2011-08-30,https://github.com/apache/commons-ognl,graduated
OODT,7170435.904155253,241,187,12,-296,61,0,3,0,7,29,0,106,64863,777,2135,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2010-01-21,2010-11-17,https://github.com/apache/OODT,graduated
Ode,7633592.074445862,362,149,16,-428,61,0,3,1,3,55,3,0,61799,86,5571,0.03010295950874925,41.48,16,3,8,26,15.438564941779436,307,2006-02-17,2007-07-18,https://github.com/apache/Ode,graduated
incubator-Omid,3118838.6809346927,947,228,9,190,56,-1,2,0,-8,40,11,6,10371,68,1440,0.017839639286414428,111.23,6,0,0,0,3.3870967741935485,65,2016-03-28,2019-11-15,https://github.com/apache/incubator-Omid,graduated
Oozie,6493955.899921257,3954,1878,14,272,470,1,3,0,0,124,2,0,69082,2630,552,0.07030933615775209,95.28,33,3,7,35,10.35452864101696,381,2011-07-11,2012-08-28,https://github.com/apache/Oozie,graduated
climate,3699731.3453513547,753,388,11,184,112,21,3,0,-3,37,6,65,79733,184,2868,0.008533616854592765,37.66,36,6,2,16,20.281325407568712,405,2013-02-15,2014-02-19,https://github.com/apache/climate,graduated
opendal,1360499.9835766423,3495,6504,3,156,422,-146,3,0,-10,244,77,1833,3177,1282,3409,0.0,10.54,2,0,1,4,22.33431631227689,170,2023-02-27,2024-01-18,https://github.com/apache/opendal,graduated
OpenEJB,12168864.498799697,810,52,12,-586,28,0,2,0,-4,54,3,0,85757,900,23327,0.005834452652787105,47.99,0,21,12,148,23.458501303087388,343,2006-07-05,2007-05-16,https://github.com/apache/OpenEJB,graduated
OpenJPA,5886853.804345235,1008,406,16,-139,132,0,4,0,6,110,2,0,25369,272,7311,0.04819708159771025,76.35,0,19,46,53,13.097100062562102,511,2006-04-10,2007-05-16,https://github.com/apache/OpenJPA,graduated
OpenNLP,13076362.754621353,1246,3265,14,92,445,0,2,0,-2,75,3,152,15291,95,2940,0.021991412324474876,33.3,39,1,3,6,14.754860711280394,200,2010-11-23,2012-02-15,https://github.com/apache/OpenNLP,graduated
OpenWebBeans,6846281.397965649,397,183,14,40,57,0,2,0,-1,20,2,123,73099,119,4380,0.031584453206727287,83.01,44,0,5,9,5.586380832282472,150,2008-10-26,2009-12-17,https://github.com/apache/OpenWebBeans,graduated
OpenWhisk,4079354.739025857,4820,14020,9,113,1162,-127,9,0,5,263,114,789,29951,646,2459,0.0,126.9,40,0,2,8,8.291624475625634,165,2016-11-23,2019-07-17,https://github.com/apache/OpenWhisk,graduated
Openmeetings,1488120.642857143,0,1508,10,0,254,0,1,0,0,0,0,0,17270,116,5892,0.0,6.05,42,0,3,16,22.43413936959209,303,2011-11-12,2013-01-18,https://github.com/apache/Openmeetings,graduated
PDFBox,11937179.846509341,968,5920,16,-75,838,0,3,0,3,151,2,0,78554,293,19323,0.0391852770885029,19.79,22,2,14,50,18.63682583375273,340,2008-02-07,2009-10-21,https://github.com/apache/PDFBox,graduated
paimon,833410.7706766918,1907,5166,3,61,854,-133,3,0,-10,201,68,99,15168,965,2389,0.0,74.4,23,1,4,20,10.422021535255295,201,2023-03-12,2024-03-21,https://github.com/apache/paimon,graduated
Phoenix,3402117.0505230892,6477,3032,11,0,994,0,4,0,0,158,0,1489,72260,165,14658,0.046757893718872394,16.03,0,19,60,252,22.691490157122868,1164,2013-12-11,2014-05-21,https://github.com/apache/Phoenix,graduated
Pig,3478102.0736324238,3266,1801,16,-100,449,0,4,0,-6,141,8,0,4913,4647,1663,0.03416074619709716,74.72,0,11,18,64,15.04034216288521,495,2007-10-02,2008-10-22,https://github.com/apache/Pig,graduated
Pinot,2758498.131188119,2774,11781,11,37,1231,-32,7,0,13,260,115,1926,19053,300,11724,0.0,60.44,0,13,15,101,14.207303169484348,434,2018-10-17,2021-07-21,https://github.com/apache/Pinot,graduated
Pluto,10376787.017367985,109,18,16,-70,10,0,3,1,1,43,4,0,9645,54,2243,0.03291525648682726,18.29,17,0,0,4,9.310949298813377,134,2003-09-30,2004-05-15,https://github.com/apache/Pluto,graduated
PredictionIO,3608154.793075473,818,27019,12,49,1935,-15,5,0,-4,107,34,90,284,1492,3010,0.0016255682600909217,39.02,8,0,0,4,14.771927079258274,686,2016-05-26,2017-10-18,https://github.com/apache/PredictionIO,graduated
Pulsar,5351959.264741484,1288,31473,9,-265,3537,239,12,0,10,104,20,7279,64666,3295,17031,0.0,98.41,0,5,42,109,11.537613250589228,327,2017-06-01,2018-09-19,https://github.com/apache/Pulsar,graduated
Qpid,7839941.428952428,4320,341,16,-557,91,0,1,1,5,108,7,0,26908,2838,35301,0.02386301790424092,76.21,24,2,2,12,7.471264367816092,244,2006-08-27,2008-12-18,https://github.com/apache/Qpid,graduated
creadur-rat,11763581.868168116,391,96,13,-8,44,0,2,0,1,47,5,234,56429,236,2659,0.013325772611284377,81.55,5,0,0,2,4.260306080242658,119,2008-01-06,2012-04-18,https://github.com/apache/creadur-rat,graduated
REEF,2778333.256623267,4051,285,11,143,97,196,5,1,11,93,14,201,51017,217,3741,0.012441023094114725,40.22,44,0,0,7,8.381204890263662,180,2014-08-12,2015-11-18,https://github.com/apache/REEF,graduated
Ranger,2837091.6547071375,4591,2707,11,119,943,5,7,0,7,225,25,20,63943,234,6801,0.025689041725540936,13.3,0,26,63,135,27.358754992706032,454,2014-07-24,2017-01-18,https://github.com/apache/Ranger,graduated
Rave,2451691.2257217956,1655,44,11,-89,14,0,3,0,-2,68,4,0,68270,41,1730,0.045754956786985254,62.85,19,2,1,1,15.70625536510398,60,2011-03-01,2012-03-21,https://github.com/apache/Rave,graduated
RocketMQ,4179780.3138552,0,53180,9,81,11534,-15,7,0,-5,54,15,977,85435,1002,7825,0.0,42.73,10,4,17,62,12.1674780584372,324,2016-11-21,2017-09-20,https://github.com/apache/RocketMQ,graduated
Roller,35028247.56510864,1633,363,16,-177,119,0,2,0,1,175,1,206,62247,319,4836,0.00451711329265057,11.42,36,2,0,16,13.617451928483076,304,2005-06-20,2007-02-21,https://github.com/apache/Roller,graduated
Rya,5337707.143636074,3382,298,10,10,80,-4,5,1,-3,93,37,0,43869,56,441,0.019549559849091118,69.83,34,1,1,13,14.092442701148473,251,2015-09-18,2019-09-18,https://github.com/apache/Rya,graduated
SINGA,2115291.305882353,0,7896,10,-2,1228,56,5,0,7,80,49,59,15550,563,2242,0.0,49.84,40,0,10,6,14.906635112124448,114,2015-03-17,2019-10-16,https://github.com/apache/SINGA,graduated
SIS,27125651.41981724,197,241,12,-7,45,0,1,0,-1,29,4,0,33474,379,8801,0.0014392520983786124,32.52,0,12,7,59,3.3243404150330127,330,2010-02-21,2012-09-19,https://github.com/apache/SIS,graduated
Samza,3137115.141788171,3528,1937,10,-18,329,0,14,0,7,160,27,430,77746,676,2303,0.04246630111948824,101.24,41,0,0,5,10.89988958410011,448,2013-07-30,2015-01-21,https://github.com/apache/Samza,graduated
incubator-Sedona,1301940.800595238,35,4300,10,-1,656,30,2,0,9,72,42,515,19190,995,1259,0.0,82.0,31,0,5,18,23.928289331961032,260,2020-07-19,2022-12-21,https://github.com/apache/incubator-Sedona,graduated
Sentry,2891828.7415288896,6305,330,9,-13,90,0,7,0,1,137,16,0,31901,55,1694,0.10043420804228809,113.42,41,1,3,5,25.590229972974356,158,2013-08-08,2016-03-16,https://github.com/apache/Sentry,graduated
servicecomb-java-chassis,2486568.5857371795,319,4594,8,189,802,-120,2,0,-35,88,46,173,9584,169,4331,0.0,70.69,33,0,0,0,9.877403479737822,73,2017-11-22,2018-10-17,https://github.com/apache/servicecomb-java-chassis,graduated
ServiceMix,9505022.890423281,2014,463,11,0,153,0,2,1,0,217,0,28,57078,33,941,0.2565341533055128,21.12,0,0,1,0,30.49464558898521,32,2005-12-01,2007-09-19,https://github.com/apache/ServiceMix,graduated
ShardingSphere,1161504.1938786507,8232,45940,9,3642,6666,604,3,0,22,440,65,12154,54743,5838,37364,0.0,88.48,45,0,31,0,50.82433762805714,81,2018-11-10,2020-04-16,https://github.com/apache/ShardingSphere,graduated
ShenYu,471951.3027959548,3454,19624,7,-19,2902,-24,16,0,-16,296,109,458,83477,237,3235,0.0,65.23,49,0,5,0,28.992826398852223,79,2021-05-03,2022-07-28,https://github.com/apache/ShenYu,graduated
Shindig,2131112.2827931223,4752,201,16,54,69,0,4,1,-5,293,10,0,77022,150,5223,0.053649407361197755,60.48,33,0,1,8,28.03985044138903,121,2007-12-03,2010-01-21,https://github.com/apache/Shindig,graduated
Shiro,285430.79032258067,0,10860,16,135,2308,0,3,0,-1,10,4,1368,20007,127,4602,0.0,72.19,7,0,0,3,2.836151477499865,146,2008-05-20,2010-09-22,https://github.com/apache/Shiro,graduated
SkyWalking,471212.21141602634,3957,53543,10,506,6469,6,4,0,12,301,53,1200,60668,3210,5035,0.0,53.23,48,0,0,11,15.20599756855329,166,2017-12-08,2019-04-17,https://github.com/apache/SkyWalking,graduated
solr,5804980.244132344,663,2827,4,-48,627,0,13,0,4,139,1,12238,28083,26078,44321,0.014599517557871056,80.9,0,12,37,173,14.323452550782088,675,2006-01-17,2007-01-17,https://github.com/apache/solr,graduated
sqoop,3420640.9166456223,1081,2521,14,247,587,0,4,1,-1,97,3,119,86084,309,1977,0.08361275214221087,97.81,30,0,6,16,10.714285714285714,191,2011-06-13,2012-03-21,https://github.com/apache/sqoop,graduated
stanbol,3390509.830874685,2116,297,15,-136,75,1,4,1,-2,79,6,0,8584,681,6284,0.00662458296330077,27.26,0,10,5,55,20.44979681818929,403,2010-11-15,2012-09-19,https://github.com/apache/stanbol,graduated
storm,50248924.65036185,2882,17218,12,-404,4072,80,6,0,38,334,15,97,71786,4386,10177,0.008688570409707297,28.47,43,0,10,19,7.425844809408389,243,2013-09-18,2014-09-17,https://github.com/apache/storm,graduated
stratos,2242744.1498368895,1825,432,11,-946,118,0,5,0,1,98,11,0,73520,524,9120,0.011395504117516136,4.04,0,3,36,107,62.16691331449841,438,2013-06-20,2014-05-21,https://github.com/apache/stratos,graduated
streampipes,2487376.9078014186,6,1317,7,-29,175,288,1,0,9,60,39,1114,69577,909,10757,0.0,8.44,29,0,0,4,9.66161830120737,133,2019-11-11,2022-11-17,https://github.com/apache/streampipes,graduated
subversion,5721383.217146743,339,1308,16,0,176,0,9,0,0,46,0,0,18760,1660,80566,0.015222624468164515,35.31,18,5,120,26,16.6748198585311,289,2009-11-07,2010-02-17,https://github.com/apache/subversion,graduated
superset,4559071.683918863,19975,134611,10,-392,13137,488,11,0,19,1390,345,2450,81989,2476,16436,0.0,55.2,25,1,19,65,17.325355018249233,648,2017-05-21,2020-11-19,https://github.com/apache/superset,graduated
synapse,3625940.604568334,112,184,16,-152,54,0,4,0,3,38,6,117,12384,347,13258,0.01423424618172977,18.47,0,8,1,44,12.56796166302739,297,2005-08-22,2007-01-02,https://github.com/apache/synapse,graduated
syncope,4414310.49166312,797,676,11,58,176,0,1,0,-4,38,5,371,41217,37,13380,0.01218815969410109,22.85,13,6,4,72,22.19816631210347,435,2012-02-10,2012-11-21,https://github.com/apache/syncope,graduated
systemml,12860556.038354382,2985,110,10,19,98,0,3,1,-3,65,3,0,84256,69,3298,0.004412125582816249,31.71,0,18,24,86,15.715648096638322,798,2015-11-02,2017-05-18,https://github.com/ckadner/systemml,graduated
tvm,1446687.8962162163,4339,26287,9,-95,3409,84,10,0,29,555,230,1983,69491,1059,11666,0.0,65.3,0,18,52,220,11.854565604338871,411,2019-03-06,2020-11-18,https://github.com/apache/tvm,graduated
tajo,1999797.9251477828,4402,377,11,-179,111,4,1,1,-6,72,7,1019,5507,625,2306,0.027391460117903787,31.25,0,19,17,50,10.73668854850474,427,2013-03-07,2014-04-01,https://github.com/apache/tajo,graduated
tapestry-5,17459245.647946816,0,327,13,0,91,0,1,0,0,0,0,0,32728,343,6250,0.03151545845898847,76.94,24,12,11,28,11.935251327085654,460,2003-04-01,2003-05-29,https://github.com/apache/tapestry-5,graduated
incubator-Tephra,3459915.717818583,982,117,9,24,53,0,5,1,-5,53,18,0,4585,21,488,0.021598670851024553,85.32,32,1,2,1,60.61860691670726,120,2016-03-07,2019-11-15,https://github.com/apache/incubator-Tephra,graduated
Tez,3892117.152621719,5735,1345,12,-57,415,3,3,0,2,115,6,202,79460,2396,1868,0.08101408078270642,74.52,32,2,15,28,11.158180033292076,333,2013-02-24,2014-07-16,https://github.com/apache/Tez,graduated
Thrift,7075177.10249408,5925,24494,16,290,4000,0,8,0,1,497,4,492,75524,635,6376,0.09540455024860629,43.09,0,11,25,110,18.036635328374885,608,2008-04-18,2010-10-20,https://github.com/apache/Thrift,graduated
Tika,2530141.3405298893,581,5366,16,-1,754,0,1,0,-1,66,3,2812,2728,1537,9310,0.00782691773774722,46.71,0,6,8,26,10.635393143091768,301,2007-03-22,2008-10-28,https://github.com/apache/Tika,graduated
TinkerPop,4837967.293262927,4578,4657,10,531,791,20,2,0,-2,168,27,73,54412,300,20823,0.004410432351142159,58.93,21,5,13,21,15.700786668528604,256,2015-01-16,2016-05-23,https://github.com/apache/TinkerPop,graduated
myfaces-tobago,21826305.97335807,109,66,8,0,24,0,1,0,0,17,0,0,72091,352,17050,0.009105875963203097,26.21,33,6,5,13,10.139520422836268,214,2005-10-27,2006-03-23,https://github.com/apache/myfaces-tobago,graduated
TrafficControl,16071352.59264214,1217,2405,9,-105,339,259,6,0,1,93,37,1984,71521,2015,12229,0.0,59.94,0,8,16,90,16.921826230403152,582,2016-07-12,2018-05-16,https://github.com/apache/TrafficControl,graduated
Trafodion,5147353.154423019,10330,648,10,111,154,72,1,1,-32,258,128,205,74216,889,6423,0.02631017004394394,5.28,0,50,372,1187,28.25123892476348,4510,2015-05-24,2017-12-20,https://github.com/apache/Trafodion,graduated
