project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
ESME,4435278.189178218,355,46,15,97,12,1,2,1,-5,16,7,0,58383,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865344,98,2010-12-15,2023-06-13,https://github.com/apache/ESME,evolved
Eagle,1588072.006220073,1065,995,10,110,181,-121,3,1,-15,80,26,0,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.599232616346288,246,2016-12-21,2020-11-20,https://github.com/apache/Eagle,evolved
Empire-db,12525233.49368811,779,190,14,11,24,0,1,0,0,49,15,0,32762,144,1700,0.01044841097083152,4.71,31,8,3,6,51.93314590802404,140,2012-01-24,2024-07-12,https://github.com/apache/Empire-db,evolved
EventMesh,4189583.6549390242,2174,3769,6,532,623,-437,5,0,-52,175,121,2625,13132,1432,4857,7.117336408022661e-05,9.48,32,2,10,46,22.075353753480705,1019,2023-02-15,2024-07-14,https://github.com/apache/EventMesh,evolved
Falcon,1868437.627718405,7425,317,12,82,117,-2,6,0,-7,161,50,0,28092,1258,1298,0.0368270169801216,64.57,39,2,4,21,12.483862810599303,327,2014-12-17,2019-07-25,https://github.com/apache/Falcon,evolved
Fineract,9656785.984694434,5973,4050,10,-30,1542,6,11,0,12,461,141,564,72769,544,7464,0.012892469423338805,41.58,0,7,29,101,20.08146023841439,578,2017-04-19,2024-07-12,https://github.com/apache/Fineract,evolved
incubator-Flagon,17518627.769230768,27,65,8,-1,15,2,2,0,1,10,3,0,785,117,144,0.0,0.0,42,0,8,10,23.395102581072138,267,2023-04-22,2024-05-16,https://github.com/apache/incubator-Flagon,evolved
Flume,11704806.925416945,12667,6604,14,248,1568,1,4,0,-14,1025,95,184,86396,41,2807,0.03768732819012149,98.9,46,0,1,7,8.636832500198366,185,2012-06-20,2024-05-12,https://github.com/apache/Flume,evolved
Fluo,8056326.837037037,436,448,12,41,78,-31,2,1,-9,34,30,86,40920,203,885,0.013747228381374724,52.38,15,0,2,2,17.636709128017454,140,2017-07-19,2024-03-27,https://github.com/apache/Fluo,evolved
FreeMarker,2172687.1029326427,530,2158,10,26,262,-1,1,0,0,131,25,0,37248,540,3163,0.004669069462647444,73.51,2,13,7,26,8.418863007749103,264,2018-03-21,2024-07-09,https://github.com/apache/FreeMarker,evolved
FtpServer,4380432.478579778,1368,213,14,30,57,0,1,1,-2,205,9,0,45016,79,1084,0.02929860905593371,59.71,21,0,0,6,12.512358563111064,149,2007-12-18,2023-07-10,https://github.com/apache/FtpServer,evolved
Geode,3973503.7176498156,48577,5240,10,416,684,-109,3,0,-42,488,218,561,13785,1810,11482,0.02425738171469228,22.39,0,8,73,179,16.539515379666913,1599,2016-11-16,2024-07-02,https://github.com/apache/Geode,evolved
Geronimo,5353122.073008941,1937,90,16,370,22,1,4,1,-11,167,61,0,6186,1082,15550,0.002156340654169422,25.16,0,4,10,60,19.08079888683134,350,2004-05-26,2023-07-25,https://github.com/apache/Geronimo,evolved
Giraph,1298573.5597413937,6396,1533,14,54,299,2,4,1,-5,261,54,0,39915,9,1165,0.020250723240115717,18.25,42,0,2,19,7.487871757013289,179,2012-05-16,2023-04-14,https://github.com/apache/Giraph,evolved
Gobblin,1098363.107780876,797,5162,11,-15,746,-48,10,0,-7,125,46,346,72080,325,6119,0.005651288448676231,48.95,41,0,0,14,8.002346366990322,245,2021-01-20,2024-07-13,https://github.com/apache/Gobblin,evolved
Gora,8514490.679457834,4852,351,11,84,119,0,5,0,-7,229,83,146,63300,386,1242,0.018000669792364365,32.07,33,0,0,5,15.517833301544917,185,2012-01-15,2024-06-27,https://github.com/apache/Gora,evolved
Griffin,3495791.242364961,427,2820,8,24,588,-16,5,0,-5,143,37,545,59963,252,864,0.004185424873382105,25.33,5,0,1,1,19.287151480310435,102,2018-11-21,2024-07-10,https://github.com/apache/Griffin,evolved
Groovy,11021579.950147426,14977,12146,10,-4,1868,-54,5,0,-18,1279,280,10288,43412,749,37570,0.034280485229592435,98.22,0,9,26,39,5.842585959885387,340,2015-11-18,2024-07-13,https://github.com/apache/Groovy,evolved
HAWQ,1500340.8587483051,534,1721,10,14,327,-8,1,1,-7,60,23,94,58494,211,2721,0.005026888646467748,17.8,0,31,196,227,17.08381935344582,651,2018-08-15,2024-05-16,https://github.com/apache/HAWQ,evolved
HCatalog,1505300.596588132,161,170,14,14,48,1,2,1,-3,29,4,0,-1,593,113,0.10196394942157654,82.51,24,2,0,3,6.897921355752681,156,2013-02-13,2023-04-14,https://github.com/apache/HCatalog,evolved
Hama,2016328.7287991385,3471,335,15,123,75,1,2,0,-5,96,25,0,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.13187927973624,170,2012-05-16,2020-02-11,https://github.com/apache/Hama,evolved
Helix,3662591.475987118,5207,1126,11,60,218,19,6,0,3,219,91,1277,53611,243,4793,0.01582186470246172,87.88,32,1,8,23,7.687548923061384,401,2013-12-18,2024-07-11,https://github.com/apache/Helix,evolved
Hop,9956725.067920053,4977,2118,6,197,328,-172,2,0,-2,245,62,1714,70831,220,6946,0.00658901795030694,15.65,0,31,88,676,27.65311117984559,594,2021-12-16,2024-07-15,https://github.com/apache/Hop,evolved
Hudi,954899.7610319076,19917,12817,9,-463,2383,-180,12,0,24,791,420,1955,17986,1659,7516,0.0,67.84,0,9,16,81,25.370530900479945,291,2020-05-20,2024-07-15,https://github.com/apache/Hudi,evolved
Iceberg,7182701.316714491,14498,13884,7,-54,2074,-165,4,0,18,928,409,1170,2237,856,5085,0.0024820398976351248,120.32,30,2,4,19,56.96438404657017,194,2020-05-20,2024-07-15,https://github.com/apache/Iceberg,evolved
Ignite,1599548.3711340206,424,11338,10,801,1888,-183,8,0,-15,552,430,2418,16696,2280,31388,0.0,82.67,0,17,45,113,9.115681876327548,458,2015-09-18,2024-07-15,https://github.com/apache/Ignite,evolved
Impala,6952346.002343155,25807,2713,9,174,501,-1,16,0,-5,660,154,0,18866,1308,11388,0.0326004583512139,22.61,0,15,80,151,37.817837945450925,1061,2017-11-15,2024-08-14,https://github.com/apache/Impala,evolved
inlong,2799853.7865064694,4231,3209,5,240,513,-510,8,0,-25,132,79,996,56535,376,4670,0.0,11.53,0,2,18,71,30.447170894554425,505,2022-06-15,2024-07-15,https://github.com/apache/inlong,evolved
isis,8495139.0,11,115,12,0,19,0,1,1,0,12,6,9,47849,2,27,0.0,0.0,0,0,0,0,11.6,31,2012-10-17,2016-11-15,https://github.com/silentgrowl/isis,evolved
ant-ivy,10405759.174394222,4269,249,11,221,115,2,2,0,-3,758,34,0,60841,1001,2394,0.07756298526382507,69.18,31,0,3,17,3.925680159256802,174,2007-10-11,2024-03-13,https://github.com/apache/ant-ivy,evolved
